dhis_orgunit|aCGaJx85MR6,facility|HCII-314-14
dhis_orgunit|aPv6owroI2J,facility|HCII-314-11
dhis_orgunit|aT1ytslGHPP,facility|HCII-314-8
dhis_orgunit|aZEsILFiYCF,facility|HCIII-314-3
dhis_orgunit|eVqlzAGda5U,facility|HCII-314-9
dhis_orgunit|hIuSd1NGumG,facility|HCIII-314-2
dhis_orgunit|jhtjCBU3lZG,facility|HCII-314-13
dhis_orgunit|JO1cLIghdBv,facility|HCII-314-6
dhis_orgunit|ltIECAx2ppI,facility|HCII-314-10
dhis_orgunit|Owvv3PbIrZ2,facility|HCII-314-3
dhis_orgunit|pZhYWxNWH94,facility|HCIII-314-4
dhis_orgunit|RLWAwgTDjSJ,facility|HCIII-314-1
dhis_orgunit|RnktSI9w0ZM,facility|HCII-314-2
dhis_orgunit|RxPKxSBe0DC,facility|Ghospital-314-1
dhis_orgunit|sYhGbKU5621,facility|HCII-314-5
dhis_orgunit|Tyxrv2J0s0m,facility|HCII-314-12
dhis_orgunit|Ug8m4dtpeYZ,facility|HCII-314-4
dhis_orgunit|VVtn6yxIz5D,facility|575
dhis_orgunit|vXlnJIdin7f,facility|HCII-314-1
dhis_orgunit|ZotVVjcyDdV,facility|HCII-314-7
dhis_orgunit|a8NfqlGUC18,facility|HCII-301-22
dhis_orgunit|a9ai8OVQ4ET,facility|HCIV-301-1
dhis_orgunit|aoqEF4fUP18,facility|HCIII-301-6
dhis_orgunit|BAl377s28jZ,facility|HCII-301-31
dhis_orgunit|BSrrPPLiBZo,facility|HCIII-301-1
dhis_orgunit|COA705FeCbj,facility|HCIII-301-5
dhis_orgunit|EP9BtvXaTsa,facility|HCII-301-21
dhis_orgunit|F4phb7m6hiz,facility|HCII-301-2
dhis_orgunit|FMgSYqDsfT6,facility|HCII-301-11
dhis_orgunit|GLzzJWQkpk1,facility|HCII-301-23
dhis_orgunit|hvtKTUxWNrt,facility|Ghospital-301-1
dhis_orgunit|Krxa01FAxdW,facility|HCIII-301-4
dhis_orgunit|LhNgo4n9Wi9,facility|HCIII-301-10
dhis_orgunit|Lq5bORbEZDi,facility|HCII-301-12
dhis_orgunit|Mq6H4E2PlH7,facility|HCIII-301-8
dhis_orgunit|N5esn50m6Il,facility|HCII-301-19
dhis_orgunit|O4KQDQzBA9s,facility|HCII-301-5
dhis_orgunit|OLccBxRpUXk,facility|HCII-301-29
dhis_orgunit|OsXGo2furEb,facility|HCII-301-25
dhis_orgunit|Ou84k4CKFRi,facility|HCII-301-26
dhis_orgunit|RHkry0Pxk7e,facility|HCII-301-17
dhis_orgunit|SydoosT4IoO,facility|HCIII-301-9
dhis_orgunit|UBVFS5BQ6Jx,facility|HCII-301-20
dhis_orgunit|V8su3RPXsiK,facility|HCIII-301-7
dhis_orgunit|VHssBVWOVqQ,facility|HCII-301-15
dhis_orgunit|x14PIFWlmxx,
dhis_orgunit|xjvcw4ygnRy,facility|HCII-301-1
dhis_orgunit|Y0XE9vH5Oeg,facility|HCIII-301-3
dhis_orgunit|yWr81raAy6g,facility|HCII-301-18
dhis_orgunit|zSzd5o81wtt,facility|HCII-301-13
dhis_orgunit|zX0wfeEc8th,facility|HCII-301-4
dhis_orgunit|acBVtDN7cmd,facility|HCIII-323-4
dhis_orgunit|AKNaO98uuZO,facility|HCIII-323-5
dhis_orgunit|aUjs9UBFWGB,facility|380
dhis_orgunit|Ef6JLaKeELl,facility|378
dhis_orgunit|FkHL59DWIav,facility|212
dhis_orgunit|klwx6rSe63o,facility|HCII-323-4
dhis_orgunit|MVYYKgICwep,facility|214
dhis_orgunit|NakSNp1eO2L,facility|213
dhis_orgunit|NrUmuqO5ggm,facility|381
dhis_orgunit|RdmsO9Kftg9,facility|HCIV-323-1
dhis_orgunit|yDPmjwoOIxi,facility|HCIII-323-2
dhis_orgunit|zkvmBd2YoxG,facility|HCII-323-5
dhis_orgunit|amnweRXxGSV,facility|HCII-315-8
dhis_orgunit|apxYt6pdYil,facility|HCII-315-3
dhis_orgunit|g4BgRyHMjZL,facility|HCII-315-5
dhis_orgunit|gK0K0TF0Nci,facility|HCII-315-7
